Codice;Prezzo;Unità
201785;3.67;1
201813;1.66;1
201814;1.65;1
201815;1.68;1
201816;1.75;1
201821;2.09;1
201822;2.09;1
201823;2.25;1
201824;2.25;1
201827;2.79;1
201828;2.79;1
201829;3.00;1
201830;3.00;1
201833;1.96;1
201834;2.17;1
201835;2.38;1
201836;3.17;1
201837;3.97;1
201838;4.51;1
201839;5.07;1
201840;1.47;1
201841;1.69;1
201842;5.54;1
201843;6.29;1
201844;7.07;1
201851;8.12;1
201853;0.95;1
201854;0.95;1
201855;1.02;1
201856;1.02;1
201857;1.27;1
201858;1.27;1
201861;3.22;1
201862;3.45;1
201863;3.45;1
201866;4.41;1
201867;4.41;1
202049;4.01;1
202054;4.01;1
202068;2.56;1
202070;4.01;1
